2026-02-14T21:21:50Z | abstain | AskUserQuestion | N/A | No rule matched — deferring to default permission behavior
2026-02-14T21:31:02Z | abstain | AskUserQuestion | N/A | No rule matched — deferring to default permission behavior
2026-02-14T21:52:12Z | abstain | AskUserQuestion | N/A | No rule matched — deferring to default permission behavior
2026-02-14T22:33:02Z | abstain | AskUserQuestion | N/A | No rule matched — deferring to default permission behavior
2026-02-14T23:32:45Z | abstain | ExitPlanMode | N/A | No rule matched — deferring to default permission behavior
2026-02-15T00:22:32Z | abstain | ExitPlanMode | N/A | No rule matched — deferring to default permission behavior
2026-02-15T00:48:02Z | abstain | AskUserQuestion | N/A | No rule matched — deferring to default permission behavior
2026-02-15T00:52:36Z | abstain | ExitPlanMode | N/A | No rule matched — deferring to default permission behavior
2026-02-15T13:38:35Z | abstain | AskUserQuestion | N/A | No rule matched — deferring to default permission behavior
2026-02-15T13:39:05Z | abstain | ExitPlanMode | N/A | No rule matched — deferring to default permission behavior
2026-02-15T13:47:06Z | abstain | AskUserQuestion | N/A | No rule matched — deferring to default permission behavior
2026-02-15T13:57:29Z | abstain | ExitPlanMode | N/A | No rule matched — deferring to default permission behavior
2026-02-15T14:25:36Z | abstain | AskUserQuestion | N/A | No rule matched — deferring to default permission behavior
2026-02-15T14:33:07Z | abstain | ExitPlanMode | N/A | No rule matched — deferring to default permission behavior
